customer_id,gender,is_female,is_senior_citizen,partner,dependents,partner_dependents,phone_service,has_phone,internet_service,has_internet,has_phone_and_internet,contract_type,payment_type,monthly_charges,total_charges,churn,has_churned,tenure,start_date,adjusted_monthly,avg_monthly_charges,contract_type,phone_service,internet_service,service_type
0023-HGHWL,Male,FALSE,1,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$25.10,$25.10,Yes,TRUE,1,2021-08-07,$25.10,$25.10,Month-to-Month,No Phone Service,DSL,internet_only
0056-EPFBG,Male,FALSE,1,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$49.25,$91.10,Yes,TRUE,1,2021-08-07,$91.10,$91.10,Month-to-Month,One Line,DSL,phone_and_internet
0071-NDAFP,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$44.30,$44.30,No,FALSE,1,2021-08-07,$44.30,$44.30,Month-to-Month,One Line,DSL,phone_and_internet
0236-HFWSV,Female,TRUE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Electronic check,$50.10,$50.10,No,FALSE,1,2021-08-07,$50.10,$50.10,Month-to-Month,Two or More Lines,DSL,phone_and_internet
0315-LVCRK,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$45.35,$89.50,Yes,TRUE,1,2021-08-07,$89.50,$89.50,Month-to-Month,One Line,DSL,phone_and_internet
0318-QUUOB,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$48.55,$48.55,Yes,TRUE,1,2021-08-07,$48.55,$48.55,Month-to-Month,One Line,DSL,phone_and_internet
0365-BZUWY,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$50.15,$50.15,No,FALSE,1,2021-08-07,$50.15,$50.15,Month-to-Month,One Line,DSL,phone_and_internet
0366-NQSHS,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$34.70,$34.70,Yes,TRUE,1,2021-08-07,$34.70,$34.70,Month-to-Month,No Phone Service,DSL,internet_only
0406-BPDVR,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$44.40,$44.40,Yes,TRUE,1,2021-08-07,$44.40,$44.40,Month-to-Month,One Line,DSL,phone_and_internet
0533-BNWKF,Female,TRUE,0,Yes,No,1,1,TRUE,1,TRUE,TRUE,0,Mailed check,$62.15,$113.10,No,FALSE,1,2021-08-07,$113.10,$113.10,Month-to-Month,One Line,DSL,phone_and_internet
0603-TPMIB,Female,TRUE,1,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$25.25,$25.25,Yes,TRUE,1,2021-08-07,$25.25,$25.25,Month-to-Month,No Phone Service,DSL,internet_only
0607-DAAHE,Male,FALSE,1,Yes,No,1,0,FALSE,1,TRUE,FALSE,0,Electronic check,$25.05,$25.05,Yes,TRUE,1,2021-08-07,$25.05,$25.05,Month-to-Month,No Phone Service,DSL,internet_only
0621-CXBKL,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Bank transfer (automatic),$48.45,$48.45,No,FALSE,1,2021-08-07,$48.45,$48.45,Month-to-Month,One Line,DSL,phone_and_internet
0655-RBDUG,Female,TRUE,1,No,No,0,0,FALSE,1,TRUE,FALSE,0,Mailed check,$25.80,$25.80,Yes,TRUE,1,2021-08-07,$25.80,$25.80,Month-to-Month,No Phone Service,DSL,internet_only
0667-NSRGI,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$54.65,$54.65,No,FALSE,1,2021-08-07,$54.65,$54.65,Month-to-Month,One Line,DSL,phone_and_internet
0810-DHDBD,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$75.50,$75.50,No,FALSE,1,2021-08-07,$75.50,$75.50,Month-to-Month,One Line,DSL,phone_and_internet
0813-TAXXS,Female,TRUE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$34.70,$62.25,Yes,TRUE,1,2021-08-07,$62.25,$62.25,Month-to-Month,No Phone Service,DSL,internet_only
0835-JKADZ,Male,FALSE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$35.55,$35.55,Yes,TRUE,1,2021-08-07,$35.55,$35.55,Month-to-Month,No Phone Service,DSL,internet_only
0877-SDMBN,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$45.70,$45.70,Yes,TRUE,1,2021-08-07,$45.70,$45.70,Month-to-Month,One Line,DSL,phone_and_internet
1015-OWJKI,Female,TRUE,0,Yes,No,1,0,FALSE,1,TRUE,FALSE,0,Electronic check,$24.80,$24.80,Yes,TRUE,1,2021-08-07,$24.80,$24.80,Month-to-Month,No Phone Service,DSL,internet_only
1323-OOEPC,Male,FALSE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$24.25,$24.25,Yes,TRUE,1,2021-08-07,$24.25,$24.25,Month-to-Month,No Phone Service,DSL,internet_only
1465-LNTLJ,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$49.95,$49.95,No,FALSE,1,2021-08-07,$49.95,$49.95,Month-to-Month,One Line,DSL,phone_and_internet
1469-LBJQJ,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$43.80,$43.80,No,FALSE,1,2021-08-07,$43.80,$43.80,Month-to-Month,One Line,DSL,phone_and_internet
1488-PBLJN,Female,TRUE,1,No,No,0,0,FALSE,1,TRUE,FALSE,0,Mailed check,$25.70,$25.70,Yes,TRUE,1,2021-08-07,$25.70,$25.70,Month-to-Month,No Phone Service,DSL,internet_only
1492-QGCLU,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$45.85,$81.00,Yes,TRUE,1,2021-08-07,$81.00,$81.00,Month-to-Month,One Line,DSL,phone_and_internet
1522-VVDMG,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$49.90,$49.90,No,FALSE,1,2021-08-07,$49.90,$49.90,Month-to-Month,One Line,DSL,phone_and_internet
1530-ZTDOZ,Male,FALSE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Mailed check,$62.05,$62.05,Yes,TRUE,1,2021-08-07,$62.05,$62.05,Month-to-Month,Two or More Lines,DSL,phone_and_internet
1574-DYCWE,Male,FALSE,0,No,No,0,2,TRUE,1,TRUE,TRUE,0,Mailed check,$60.10,$60.10,Yes,TRUE,1,2021-08-07,$60.10,$60.10,Month-to-Month,Two or More Lines,DSL,phone_and_internet
1597-LHYNC,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$45.15,$45.15,Yes,TRUE,1,2021-08-07,$45.15,$45.15,Month-to-Month,One Line,DSL,phone_and_internet
1644-IRKSF,Male,FALSE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Mailed check,$49.65,$49.65,Yes,TRUE,1,2021-08-07,$49.65,$49.65,Month-to-Month,One Line,DSL,phone_and_internet
1722-LDZJS,Female,TRUE,0,No,No,0,1,TRUE,1,TRUE,TRUE,0,Electronic check,$44.45,$82.70,No,FALSE,1,2021-08-07,$82.70,$82.70,Month-to-Month,One Line,DSL,phone_and_internet
1730-ZMAME,Male,FALSE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Bank transfer (automatic),$35.25,$35.25,Yes,TRUE,1,2021-08-07,$35.25,$35.25,Month-to-Month,No Phone Service,DSL,internet_only
1763-WQFUK,Female,TRUE,1,No,No,0,0,FALSE,1,TRUE,FALSE,0,Electronic check,$25.20,$25.20,Yes,TRUE,1,2021-08-07,$25.20,$25.20,Month-to-Month,No Phone Service,DSL,internet_only
1768-HNVGJ,Male,FALSE,0,No,No,0,0,FALSE,1,TRUE,FALSE,0,Mailed check,$24.30,$38.45,No,FALSE,1,2021-08-07,$38.45,$38.45,Month-to-Month,No Phone Service,DSL,internet_only
